lambda,policy_key,base_policy,capacity,p99_latency_ms,avg_latency_ms,throughput_req_s,avg_quality
1e-05,high_c1,high,1,0.0,0.0,0.0,0.0
1e-05,high_c2,high,2,0.0,0.0,0.0,0.0
1e-05,high_c4,high,4,0.0,0.0,0.0,0.0
1e-05,fast_c1,fast,1,0.0,0.0,0.0,0.0
1e-05,fast_c2,fast,2,0.0,0.0,0.0,0.0
1e-05,fast_c4,fast,4,0.0,0.0,0.0,0.0
1e-05,smart_c1,smart,1,0.0,0.0,0.0,0.0
1e-05,smart_c2,smart,2,0.0,0.0,0.0,0.0
1e-05,smart_c4,smart,4,0.0,0.0,0.0,0.0
1e-05,sjf_c1,sjf,1,0.0,0.0,0.0,0.0
1e-05,sjf_c2,sjf,2,0.0,0.0,0.0,0.0
1e-05,sjf_c4,sjf,4,0.0,0.0,0.0,0.0
1.4444444444444446e-05,high_c1,high,1,198248.13473610894,92474.51160790054,0.012444444444444444,31.27957773844401
1.4444444444444446e-05,high_c2,high,2,96344.36815160255,55535.76335800648,0.013777777777777778,31.27957773844401
1.4444444444444446e-05,high_c4,high,4,77357.12325716035,52608.27778458897,0.016666666666666666,31.27957773844401
1.4444444444444446e-05,fast_c1,fast,1,82651.28784895485,30320.831429612223,0.015111111111111112,31.307256380716954
1.4444444444444446e-05,fast_c2,fast,2,39353.39951997625,22789.039786829082,0.015333333333333332,31.307256380716954
1.4444444444444446e-05,fast_c4,fast,4,22607.4587059021,22126.533292233944,0.014222222222222223,31.307256380716957
1.4444444444444446e-05,smart_c1,smart,1,303091.5602506309,131232.39135646212,0.01577777777777778,31.27957773844401
1.4444444444444446e-05,smart_c2,smart,2,87998.65900328402,55394.21520414302,0.018,31.27957773844401
1.4444444444444446e-05,smart_c4,smart,4,53218.8893032074,51748.48236015865,0.015555555555555555,31.27957773844401
1.4444444444444446e-05,sjf_c1,sjf,1,53116.94419384003,21594.272685483593,0.01577777777777778,30.782231219833438
1.4444444444444446e-05,sjf_c2,sjf,2,53246.953444480896,18820.718932151787,0.016666666666666666,30.795792082722976
1.4444444444444446e-05,sjf_c4,sjf,4,53016.43204689026,16789.935170819885,0.016888888888888887,30.750982875154715
1.8888888888888893e-05,high_c1,high,1,711915.3738144438,253651.72404469736,0.017777777777777778,31.27957773844401
1.8888888888888893e-05,high_c2,high,2,221039.7571177574,73356.65692934768,0.02022222222222222,31.279577738444008
1.8888888888888893e-05,high_c4,high,4,53330.53679583026,51997.85912265912,0.02311111111111111,31.279577738444008
1.8888888888888893e-05,fast_c1,fast,1,97308.80227033922,34472.15209629277,0.01911111111111111,31.30725638071695
1.8888888888888893e-05,fast_c2,fast,2,36722.22353609082,22648.08268899032,0.017555555555555557,31.307256380716947
1.8888888888888893e-05,fast_c4,fast,4,22712.81197315903,22029.11435995629,0.019555555555555555,31.307256380716964
1.8888888888888893e-05,smart_c1,smart,1,327430.59041219245,154655.64395781918,0.017777777777777778,31.280961670557655
1.8888888888888893e-05,smart_c2,smart,2,99730.46563303474,57458.7926350347,0.020888888888888887,31.279577738444008
1.8888888888888893e-05,smart_c4,smart,4,82964.63180171011,53015.681281524674,0.018444444444444444,31.27957773844401
1.8888888888888893e-05,sjf_c1,sjf,1,65748.69461038751,18159.09076547017,0.018666666666666668,30.637294637589225
1.8888888888888893e-05,sjf_c2,sjf,2,60777.70423585339,16647.828012044025,0.018666666666666668,30.744767002378186
1.8888888888888893e-05,sjf_c4,sjf,4,52978.59193325043,18768.212379907305,0.021111111111111112,30.76516990112839
2.3333333333333336e-05,high_c1,high,1,1654029.983383704,1104999.264967482,0.01911111111111111,31.279577738444008
2.3333333333333336e-05,high_c2,high,2,137003.61519313467,71328.88454277323,0.02288888888888889,31.279577738444008
2.3333333333333336e-05,high_c4,high,4,68113.81020010902,52471.987861301684,0.02422222222222222,31.279577738444008
2.3333333333333336e-05,fast_c1,fast,1,86834.09897526511,33514.96782177692,0.027555555555555555,31.30725638071696
2.3333333333333336e-05,fast_c2,fast,2,36234.06066309,23011.4943955827,0.021777777777777778,31.30725638071696
2.3333333333333336e-05,fast_c4,fast,4,22619.8792219162,21985.099991973566,0.021777777777777778,31.30725638071696
2.3333333333333336e-05,smart_c1,smart,1,368560.9677738076,250852.65652437377,0.021333333333333333,31.288803952534995
2.3333333333333336e-05,smart_c2,smart,2,129883.26006792417,71024.12030214598,0.025333333333333333,31.279577738444008
2.3333333333333336e-05,smart_c4,smart,4,63127.63256392375,52340.22889530188,0.024666666666666667,31.279577738444008
2.3333333333333336e-05,sjf_c1,sjf,1,68271.65531871752,21699.514583645367,0.02288888888888889,30.76978237732328
2.3333333333333336e-05,sjf_c2,sjf,2,66003.9023565675,22547.604152056712,0.02688888888888889,30.871785586858916
2.3333333333333336e-05,sjf_c4,sjf,4,53311.52362823486,17216.17541601949,0.018,30.735254606553067
2.777777777777778e-05,high_c1,high,1,1977677.4896098021,1087572.876294511,0.01911111111111111,31.279577738444008
2.777777777777778e-05,high_c2,high,2,167894.10829749994,79165.06189046844,0.028666666666666667,31.27957773844401
2.777777777777778e-05,high_c4,high,4,66049.11152699747,52244.941863053944,0.028444444444444446,31.279577738444008
2.777777777777778e-05,fast_c1,fast,1,92627.42675704864,37260.36907028021,0.025111111111111112,31.307256380716964
2.777777777777778e-05,fast_c2,fast,2,34708.04441020483,23067.56802297468,0.026,31.30725638071696
2.777777777777778e-05,fast_c4,fast,4,22705.34514427185,22039.51835301982,0.027333333333333334,31.307256380716964
2.777777777777778e-05,smart_c1,smart,1,339783.7031336982,239723.33163632246,0.028,31.29627279251341
2.777777777777778e-05,smart_c2,smart,2,153414.53226349084,69869.44276768515,0.028666666666666667,31.27957773844401
2.777777777777778e-05,smart_c4,smart,4,74567.6094583009,53088.90093559963,0.026,31.279577738444008
2.777777777777778e-05,sjf_c1,sjf,1,100251.23638880823,27194.381301918045,0.028,30.779492765154156
2.777777777777778e-05,sjf_c2,sjf,2,65855.89290051565,20932.847700460843,0.029111111111111112,30.82932561636578
2.777777777777778e-05,sjf_c4,sjf,4,53114.49445724487,18818.896603411144,0.028444444444444446,30.76300413529079
3.222222222222222e-05,high_c1,high,1,2389513.212631159,1291522.4097706936,0.01911111111111111,31.279577738444008
3.222222222222222e-05,high_c2,high,2,206067.58475094073,89947.11123128941,0.028444444444444446,31.279577738444008
3.222222222222222e-05,high_c4,high,4,68873.30455984762,53068.666402554634,0.029111111111111112,31.279577738444008
3.222222222222222e-05,fast_c1,fast,1,123302.18852621104,46527.80925752601,0.03244444444444444,31.307256380716957
3.222222222222222e-05,fast_c2,fast,2,37559.81497959336,23549.968604720903,0.03288888888888889,31.307256380716957
3.222222222222222e-05,fast_c4,fast,4,24163.707857023062,22065.734919725557,0.033777777777777775,31.307256380716964
3.222222222222222e-05,smart_c1,smart,1,337173.73564725154,221921.43547975543,0.03288888888888889,31.302206898680677
3.222222222222222e-05,smart_c2,smart,2,173662.42712401433,96249.5915823423,0.03333333333333333,31.27957773844401
3.222222222222222e-05,smart_c4,smart,4,71771.64405601619,52775.38220239511,0.03,31.279577738444008
3.222222222222222e-05,sjf_c1,sjf,1,98955.40927571798,23450.95031026063,0.027333333333333334,30.75984057821879
3.222222222222222e-05,sjf_c2,sjf,2,60736.686424369254,22658.992520657586,0.033555555555555554,30.898517011848767
3.222222222222222e-05,sjf_c4,sjf,4,53122.259998321504,19079.51928062956,0.028666666666666667,30.81416389908901
3.666666666666667e-05,high_c1,high,1,2566772.007656132,1451976.6794377451,0.01911111111111111,31.279577738444008
3.666666666666667e-05,high_c2,high,2,202892.48928291872,91251.12775248285,0.03,31.279577738444008
3.666666666666667e-05,high_c4,high,4,90658.54576040067,55955.24410530707,0.037333333333333336,31.27957773844401
3.666666666666667e-05,fast_c1,fast,1,143523.96751890442,62726.01224049133,0.036444444444444446,31.307256380716957
3.666666666666667e-05,fast_c2,fast,2,45259.25319066276,24556.738300742647,0.038,31.30725638071696
3.666666666666667e-05,fast_c4,fast,4,23300.607006158745,22097.604340635822,0.034444444444444444,31.307256380716957
3.666666666666667e-05,smart_c1,smart,1,362769.91457915725,238392.90669217333,0.035555555555555556,31.30310458437602
3.666666666666667e-05,smart_c2,smart,2,205934.79205412843,135985.0186678937,0.04,31.2841908454895
3.666666666666667e-05,smart_c4,smart,4,76377.47997438205,53193.03385374587,0.035777777777777776,31.27957773844401
3.666666666666667e-05,sjf_c1,sjf,1,179581.03729936868,41693.95873852231,0.03422222222222222,30.809436332570527
3.666666666666667e-05,sjf_c2,sjf,2,68391.55357955486,19282.93863994346,0.034,30.78729838826298
3.666666666666667e-05,sjf_c4,sjf,4,53034.714612960815,16813.73782464064,0.04066666666666666,30.762794037699045
4.1111111111111116e-05,high_c1,high,1,2714547.8546840977,1505487.4259253533,0.01911111111111111,31.279577738444008
4.1111111111111116e-05,high_c2,high,2,275968.6002639856,107748.10165282985,0.034,31.279577738444015
4.1111111111111116e-05,high_c4,high,4,91117.0370868752,58026.743522828256,0.046,31.279577738444008
4.1111111111111116e-05,fast_c1,fast,1,205598.97640999933,88392.50756236167,0.04088888888888889,31.307256380716968
4.1111111111111116e-05,fast_c2,fast,2,53145.83319970586,25729.74303476237,0.046,31.30725638071696
4.1111111111111116e-05,fast_c4,fast,4,22699.387216567993,22058.741880076064,0.043555555555555556,31.30725638071696
4.1111111111111116e-05,smart_c1,smart,1,328027.7244613108,215254.57641531888,0.034888888888888886,31.30302525068797
4.1111111111111116e-05,smart_c2,smart,2,205689.68441000482,121517.28609608384,0.04066666666666666,31.283963971372515
4.1111111111111116e-05,smart_c4,smart,4,87849.40982145295,56617.73936340089,0.04088888888888889,31.279577738444008
4.1111111111111116e-05,sjf_c1,sjf,1,530387.1750200539,51336.79916863264,0.041555555555555554,30.778603771570108
4.1111111111111116e-05,sjf_c2,sjf,2,60870.18011018652,20346.084474828822,0.04088888888888889,30.81934876124064
4.1111111111111116e-05,sjf_c4,sjf,4,53079.34747695923,19041.761672858036,0.03666666666666667,30.848517192493784
4.555555555555556e-05,high_c1,high,1,3038108.12738468,1596363.4267058747,0.01911111111111111,31.279577738444008
4.555555555555556e-05,high_c2,high,2,951403.88526188,517869.06943511934,0.03755555555555556,31.27957773844401
4.555555555555556e-05,high_c4,high,4,117752.55289270855,61585.96802284872,0.04933333333333333,31.279577738444008
4.555555555555556e-05,fast_c1,fast,1,274376.23858664685,122800.67645581282,0.041555555555555554,31.30725638071696
4.555555555555556e-05,fast_c2,fast,2,59660.39470024735,25254.668849108046,0.04,31.30725638071696
4.555555555555556e-05,fast_c4,fast,4,24181.657554904465,22151.842730119875,0.04844444444444444,31.30725638071696
4.555555555555556e-05,smart_c1,smart,1,609229.5687105149,434458.31134190375,0.043333333333333335,31.30725638071696
4.555555555555556e-05,smart_c2,smart,2,200399.8239487691,134271.66815216801,0.043333333333333335,31.28795230200352
4.555555555555556e-05,smart_c4,smart,4,77660.95361017037,53809.61295619487,0.043555555555555556,31.279577738444008
4.555555555555556e-05,sjf_c1,sjf,1,309860.8188086947,48050.603373032856,0.04488888888888889,30.808096186319986
4.555555555555556e-05,sjf_c2,sjf,2,67871.52404757145,21491.350038335586,0.04577777777777778,30.797968054527605
4.555555555555556e-05,sjf_c4,sjf,4,53122.63687610626,17337.614260924358,0.042666666666666665,30.78281905750434
5e-05,high_c1,high,1,2806568.522995922,1550572.5823333613,0.01911111111111111,31.279577738444008
5e-05,high_c2,high,2,1102097.7521658267,748067.7231099424,0.038,31.279577738444008
5e-05,high_c4,high,4,111994.61191116156,60887.582574882355,0.052,31.279577738444008
5e-05,fast_c1,fast,1,730935.331371191,385398.07007957343,0.044222222222222225,31.307256380716957
5e-05,fast_c2,fast,2,40516.759606083746,23555.317868313985,0.043333333333333335,31.30725638071696
5e-05,fast_c4,fast,4,23053.16197053915,22100.59791476189,0.054,31.307256380716968
5e-05,smart_c1,smart,1,567414.0925208889,465234.79435738217,0.043333333333333335,31.30725638071696
5e-05,smart_c2,smart,2,201817.2257426994,137103.66304001276,0.049555555555555554,31.29174144670746
5e-05,smart_c4,smart,4,96911.67539248036,55450.30058534377,0.04488888888888889,31.279577738444008
5e-05,sjf_c1,sjf,1,379027.8075367939,48970.45936174578,0.051333333333333335,30.762775852649245
5e-05,sjf_c2,sjf,2,96641.21957012595,25233.79756319976,0.05333333333333334,30.80275860134761
5e-05,sjf_c4,sjf,4,53118.744683265686,17717.795834586483,0.051333333333333335,30.79271942006561
